Seat Capacity,Engine Capacity,Mileage,Colour,Car type,Year,Transmission,Make,Model,Price
7,2362 cc,85 - 90k,White,Used Car,2008,Automatic,Toyota,Estima,
5,2494 cc,1,Black,New Car,2016,Automatic,Toyota,Camry,"RM 156,000"
7,2362 cc,"5,000",Black,Recon Car,2014,Automatic,Toyota,Vellfire,"RM 245,000"
7,2362 cc,20000,Purple,Recon Car,2013,Automatic,Toyota,Vellfire,"RM 215,000"
6,1986 cc,80 - 85k,Blue,Used Car,2010,Automatic,Toyota,Wish,"RM 68,800"
5,2362 cc,75 - 80k,White,Used Car,2009,Automatic,Toyota,Camry,"RM 61,800"
5,1998 cc,85 - 90k,-,Used Car,2006,Automatic,Toyota,Camry,"RM 32,800"
5,1998 cc,125 - 130k,Red,Used Car,2008,Automatic,Mitsubishi,Lancer,"RM 49,000"
7,2362 cc,"6,000",Black,Recon Car,2013,Automatic,Toyota,Estima,"RM 165,000"
7,2362 cc,25 - 30k,White,Recon Car,2013,Automatic,Toyota,Vellfire,"RM 218,000"
5,1496 cc,110000,-,Used Car,2005,Automatic,Toyota,Vios,"RM 32,500"
5,2393 cc,1,Grey,New Car,2016,Manual,Toyota,Hilux,"RM 100,000"
-,-,"20,000",-,Recon Car,2012,Automatic,Toyota,Vellfire,"RM 199,780"
-,2500 cc,"20,000",Silver,Recon Car,2012,Automatic,Toyota,Mark X,"RM 136,000"
-,2500 cc,1,-,New Car,2015,Automatic,Mitsubishi,Triton,"RM 100,000"
7,2994 cc,46432,Black,Used Car,2008,Automatic,Toyota,Alphard,"RM 215,000"
7,2362 cc,30000,White,Recon Car,2013,Automatic,Toyota,Estima,"RM 178,000"
2,2494 cc,0 - 5K,White,New Car,2016,Manual,Toyota,Hiace,"RM 95,300"
7,2362 cc,4154,Grey,Recon Car,2013,Automatic,Toyota,Estima,"RM 187,000"
7,2693 cc,4000,White,Recon Car,2014,Automatic,Toyota,Land Cruiser Prado,"RM 258,000"
7,2362 cc,10 - 15k,White,Recon Car,2012,Automatic,Toyota,Vellfire,"RM 157,547"
5,2477 cc,45 - 50k,White,Used Car,2015,Automatic,Mitsubishi,Triton,"RM 81,333"
4,2494 cc,90 - 95k,Black,Used Car,2007,Automatic,Toyota,Hilux,"RM 49,800"
7,2362 cc,"3,000",Purple,Recon Car,2012,Automatic,Toyota,Estima,"RM 188,000"
7,3456 cc,2000,White,Recon Car,2015,Automatic,Toyota,Vellfire,"RM 478,000"
7,2362 cc,15 - 20k,Black,Recon Car,2012,Automatic,Toyota,Estima,"RM 173,800"
7,2362 cc,0 - 5k,Black,Recon Car,2012,Automatic,Toyota,Estima,"RM 165,000"
-,-,5 - 10k,Purple,Recon Car,2013,Automatic,Toyota,Vellfire,"RM 225,000"
5,1998 cc,0 - 5K,-,New Car,2016,Automatic,Mitsubishi,ASX,"RM 124,900"
5,1497 cc,20000,Silver,Used Car,2014,Automatic,Toyota,Vios,"RM 68,800"
-,-,"40,000",White,Used Car,2012,Automatic,Toyota,Vios,"RM 55,000"
7,2362 cc,8000,Blue,Recon Car,2012,Automatic,Toyota,Estima,"RM 177,000"
-,-,"10,000",Silver,Recon Car,2013,Automatic,Toyota,Wish,"RM 112,800"
8,2362 cc,10 - 15k,Silver,Recon Car,2012,Automatic,Toyota,Alphard,"RM 158,000"
7,1797 cc,40000,Black,Recon Car,2011,Automatic,Toyota,Wish,"RM 119,900"
5,1998 cc,0 - 5K,Blue,New Car,2016,Automatic,Mitsubishi,ASX,"RM 101,744"
7,2362 cc,5 - 10K,Black,Recon Car,2013,Automatic,Toyota,Vellfire,"RM 233,888"
7,1797 cc,"20,000",White,Recon Car,2011,Automatic,Toyota,Wish,"RM 97,000"
7,1298 cc,125 - 130k,Gold,Used Car,2006,Manual,Toyota,Avanza,"RM 22,800"
7,1298 cc,130000,Silver,Used Car,2004,Automatic,Toyota,Avanza,"RM 22,700"
5,2362 cc,"10,000",White,Recon Car,2011,Automatic,Toyota,Harrier,"RM 145,000"
5,1497 cc,0 - 5K,Silver,New Car,2016,Automatic,Toyota,Vios,"RM 75,380"
5,1998 cc,0 - 5K,-,New Car,2016,Automatic,Mitsubishi,ASX,"RM 124,900"
7,2362 cc,5 - 10K,Silver,Recon Car,2011,Automatic,Toyota,Estima,"RM 136,000"
7,2362 cc,26000,White,Recon Car,2013,Automatic,Toyota,Estima,"RM 182,000"
7,1797 cc,40000,Silver,Used Car,2012,Automatic,Toyota,Wish,"RM 108,000"
5,2362 cc,"67,500",Silver,Used Car,2006,Automatic,Toyota,Harrier,"RM 96,000"
-,-,10 - 15k,White,Recon Car,2013,Automatic,Toyota,Estima,"RM 180,000"
-,-,"95,000",White,Used Car,2011,Automatic,Toyota,Altis,"RM 69,800"
5,1998 cc,-,Silver,New Car,2016,Automatic,Mitsubishi,ASX,"RM 124,880"
5,1497 cc,95 - 100K,White,Used Car,2012,Automatic,Toyota,Prius C,"RM 58,800"
5,1998 cc,40 - 45K,Black,Used Car,2013,Automatic,Toyota,Camry,"RM 115,000"
7,2362 cc,"8,000",Silver,Recon Car,2012,Automatic,Toyota,Alphard,"RM 162,000"
